model_name,time_s,command_vy,command_wz,terminated,torque_ankle_L_joint,torque_ankle_R_joint
Ours,6.68,-1.0,0.0,0.0,4.382360935211182,-8.047365188598633
Ours,6.7,-1.0,0.0,0.0,4.502123832702637,-4.936500549316406
Ours,6.72,-1.0,0.0,0.0,7.192237854003906,-7.265500068664551
Ours,6.74,-1.0,0.0,0.0,4.867193698883057,-7.492279052734375
Ours,6.76,-1.0,0.0,0.0,7.439990520477295,-8.362076759338379
Ours,6.78,-1.0,0.0,0.0,5.793737411499023,-6.269193172454834
Ours,6.8,-1.0,0.0,0.0,7.386879920959473,-6.708795547485352
Ours,6.82,-1.0,0.0,0.0,3.7944719791412354,-3.0165390968322754
Ours,6.84,-1.0,0.0,0.0,6.936471462249756,-5.151472568511963
Ours,6.86,-1.0,0.0,0.0,4.063604354858398,-2.4720845222473145
Ours,6.88,-1.0,0.0,0.0,3.609917640686035,-4.456758499145508
Ours,6.9,-1.0,0.0,0.0,5.539700031280518,-7.407353401184082
Ours,6.92,-1.0,0.0,0.0,3.999929428100586,-5.917832851409912
Ours,6.94,-1.0,0.0,0.0,3.8571605682373047,-8.14663314819336
Ours,6.96,-1.0,0.0,0.0,3.9200844764709473,-4.643562316894531
Ours,6.98,-1.0,0.0,0.0,4.6177568435668945,-9.031129837036133
Ours,7.0,-1.0,0.0,0.0,5.332388877868652,-5.083352088928223
